comuna;total;varones;mujeres;superficie;densidad
1;256405;127651;128754;17,7649;14433,23633
2;149430;66707;82723;6,30245;23709,82713
3;193276;91310;101966;6,385;30270,32106
4;240100;114957;125143;21,669;11080,34519
5;187518;86312;101206;6,65905;28159,87265
6;185456;84790;100666;6,851;27069,9168
7;241861;113923;127938;12,4276;19461,6016
8;228953;109653;119300;22,292;10270,63521
9;171264;82856;88408;16,506;10375,86332
10;170592;80065;90527;12,6569;13478,18186
11;190076;89756;100320;14,1193;13462,14047
12;214777;100392;114385;15,5676;13796,41049
13;236358;107991;128367;14,651746;16131,72928
14;227115;102784;124331;15,8465;14332,18692
15;182465;85398;97067;14,322713;12739,5557
